url,title,description,timestamp,status_code,content_length,depth
https://config-9655d.web.app,Welcome to Firebase Hosting,You're seeing this because you've successfully setup Firebase Hosting. Now it's time to go build something extraordinary!,1774270750.369493,200,4410,6
https://msft.it/6041tvfzR?trk=organization_guest_main-feed-card-text,AI powered layout creation - Building AI integrated SPFx web part - YouTube,"📺 In this demo, Hugo Bernier continues his SPFx series by showing how AI can be used to generate Adaptive Card layouts dynamically. He demonstrates groundin...",1774270736.4430413,200,1212297,4
https://research.google/?utm_source=about.google&utm_medium=referral&utm_campaign=footer,Google Research - Explore Our Latest Research in Science and AI,Discover Google Research. We publish research papers across a wide range of domains and share our latest developments in AI and science research.,1774270753.0900595,200,114636,4
https://linkedin.focusvision.com/survey/selfserve/bb5/19rops210,Survey,,1774270772.4634078,200,17247,3
https://education.minecraft.net/connect/minecraft-ambassador,Become a Minecraft Education Ambassador | Minecraft Education,Become a global Minecraft Mentor. Join a community of educators passionate about Minecraft in the classroom and help support others in their Minecraft journey.,1774270747.016139,200,98421,2
http://www.fubiz-interactive.com,Fubiz • Studio,Connecting Creative Talents with Brands. Based in Paris & New York. Fubiz Studio with 3000 Talents & 400 Projects.,1774270775.5802233,200,5673,5
https://happymondaycoffee.com/,Happy Monday Coffee Roasters,"Happy Monday Coffee Roasters is Chicagoland's commercial craft coffee roaster . We provide coffee to offices , restaurants , as well as retail and wholesale to the public.",1774270764.0724795,200,114792,6
https://www.google.com.sg/intl/en-GB/about/products?tab=kh,Google's products and services  - About Google,"Explore Google's helpful products and services, including Android, Gemini, Pixel and Search.",1774270738.5034897,200,658699,3
https://www.carawayhome.com/,Ceramic Non-Stick Cookware: Non-Toxic Pots and Pans | Caraway,"Elevate your kitchen with Caraway's Deluxe Cook & Bake Set. This all-in-one collection includes our Cookware Set, Minis Duo, and Bakeware Set, all with non-toxic ceramic coatings for easy cleanup, superior non-stick performance, and chemical-free cooking. Includes complimentary organizers.",1774270764.077176,200,2513014,6
https://wallet.google/?utm_source=about.google&utm_medium=referral&utm_campaign=productslist,Google Wallet – Your Fast and Secure Digital Wallet,"Google Wallet gives you fast, secure access to your everyday essentials. Take the train, tap to pay in shops and more with your digital wallet.",1774270767.766875,200,139151,4
https://hellbabes.co/,"Clothing, motorcycle and fashion accessories for women / womxn
    
    
    
      – Hell Babes",Women's clothing for the rebel gal inspired by and with deep roots in motorcycle culture. From rad graphic t-shirts to stylish and comfortable hoodies with a focus on quality and detail. Women's motorcycle riding gear to keep you looking good while riding. Our Sizes range from S-2XL.,1774270764.0558233,200,859034,6
https://www.anthemawards.com/winners/list/entry/,Entry - Anthem Awards,"Brought to you by The Webby Awards, The Anthem Awards honors the purpose & mission-driven work of people, companies, and organizations worldwide. By amplifying the voices that spark global change, we’re defining a new benchmark for impactful work that inspires others to take action in their own communities.",1774270741.9242442,200,64213,6
https://containers.dev/features,Features,Development containers documentation and specification page.,1774270767.4797745,200,476243,8
